bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl
5.637,26,4.693,0.4221,62.3534,21.8701,2.8103,0.0184,1,0.0144,1.0864,2.32,ABB,2019-09-20,0,0.051
7.2594,57,2.6642,0.5505,63.863,9.5718,3.1704,0.0443,1,0.0173,0.9828,11.0393,ABB,2020-01-10,0,-8.2565
7.6847,26,2.3322,0.8936,61.7867,10.2978,3.0301,0.0459,1,0.0576,0.8431,-2.1335,ABB,2020-11-06,1,54.8498
8.8368,39,4.4224,0.885,67.1316,12.6813,3.8196,0.0675,1,0.0431,1.1046,32.6058,ABB,2021-08-27,0,8.96
6.0768,27,6.4692,0.8723,66.5485,11.5912,3.2735,0.0743,1,0.0178,1.1978,13.7773,ABB,2021-10-28,0,21.6672
10.0542,0,4.7618,0.7286,67.5127,14.1023,4.6919,0.1508,0,-0.0145,1.226,36.4008,ABB,2021-12-09,0,-5.2874
8.66,8,10.3905,0.646,59.3866,23.8529,3.6293,0.0491,0,-0.0231,1.1507,-2.5303,ABB,2022-05-05,0,0.1079
9.4997,10,4.3397,0.9188,69.918,11.0888,3.3445,0.1057,0,-0.0093,1.2658,20.3168,ABB,2022-07-06,0,21.6854
6.2713,55,2.2962,0.7286,64.9003,8.5469,2.0435,0.051,1,0.0237,1.2027,26.8661,ABB,2023-09-11,0,-7.9721
5.75,34,2.4481,0.804,64.7421,12.6229,2.3338,0.0561,1,0.0277,1.0164,-1.5164,ABB,2023-11-30,0,3.1524
4.973,9,2.4567,0.725,64.0091,8.3945,2.6331,0.0923,1,0.052,1.0047,15.3913,ABB,2024-01-09,0,-6.9108
9.9737,9,9.5945,0.6978,65.4887,18.5387,3.3363,0.0622,1,0.0199,1.0211,18.89,ABB,2024-02-21,1,63.2729
11.8025,0,3.683,0.8194,67.0575,10.4048,3.0819,0.0,1,0.038,1.0,0.0,ABCAPITAL,2017-11-06,0,-11.4541
7.5777,8,2.8186,0.9234,63.1694,16.6171,2.6811,0.0251,1,0.0339,0.7729,-6.8839,ABCAPITAL,2018-07-24,0,-1.631
13.4286,0,3.0616,0.6791,62.3937,9.8018,5.2995,0.1143,1,0.1089,0.5683,-53.309,ABCAPITAL,2020-06-02,0,7.2084
7.9668,4,6.7893,0.8686,61.7905,16.1333,3.4036,0.0555,1,0.0398,1.1099,28.4906,ABCAPITAL,2020-10-21,0,23.9036
7.1505,33,4.6198,0.6556,59.1998,9.605,3.2676,0.0268,1,0.0248,1.2483,-4.6307,ABCAPITAL,2021-07-16,0,-9.5601
8.3498,11,2.2352,0.7938,64.036,8.2479,2.6643,0.0436,1,0.0345,0.8316,-3.3349,ABCAPITAL,2022-07-21,0,9.9158
6.6361,45,2.401,0.9301,62.9071,8.7911,2.4342,0.0455,0,-0.0243,1.3427,36.5678,ABCAPITAL,2023-03-01,0,-4.3836
11.5333,0,1.7997,0.9353,69.0278,9.7795,2.3658,0.0634,1,0.0518,0.8821,-0.3587,ABCAPITAL,2024-01-11,0,-8.1305
8.9204,6,4.3971,0.6921,61.5559,17.4056,3.2457,0.0657,1,0.0303,0.8326,0.111,ABCAPITAL,2024-02-02,0,-3.7198
9.7523,17,6.7479,0.9151,61.3165,20.4403,3.2578,0.0851,0,-0.0129,1.476,50.8478,ABCAPITAL,2025-08-04,0,16.7204
6.8197,5,1.9794,0.9069,68.8575,8.6752,2.4688,0.1159,1,0.0155,1.499,27.59,ABCAPITAL,2025-11-25,0,-1.5579
10.4147,0,3.7961,0.938,63.6442,10.6791,4.3707,0.0,1,0.0234,1.0,0.0,ABDL,2024-08-22,0,-3.2209
9.3398,10,3.7309,0.8204,67.4823,9.0791,3.3298,0.1074,1,0.0356,1.6594,38.0334,ABDL,2025-10-20,0,1.2627
9.107,27,1.5065,0.8525,62.9224,9.308,2.8068,0.0441,1,0.0287,1.04,-4.7055,ABFRL,2017-01-16,0,-0.7713
8.0876,33,1.7316,0.7346,63.5152,9.7134,2.8018,0.0737,1,0.0362,1.0552,1.0892,ABFRL,2017-01-24,0,-2.7625
4.5901,21,3.0884,0.423,57.4188,10.328,3.2394,0.0296,1,0.0369,0.9594,-12.4164,ABFRL,2018-05-11,0,-8.8133
7.688,14,5.4719,0.7636,66.9109,19.0728,3.3872,0.0853,1,0.0187,1.4455,43.3214,ABFRL,2018-12-12,0,11.9682
9.7419,19,2.3848,0.7536,69.8814,8.9294,3.0103,0.093,1,0.0436,0.9263,5.016,ABFRL,2019-09-23,0,8.287
4.2996,43,4.878,0.5425,57.7465,10.1725,3.1906,0.0331,0,-0.0031,1.1721,13.7512,ABFRL,2020-02-05,0,-0.1795
7.1817,44,5.5325,0.7707,69.0342,11.2877,3.6241,0.0979,1,0.0009,1.2255,22.2837,ABFRL,2020-02-06,0,-5.8409
5.4744,15,2.2749,0.9,58.9109,8.5173,3.6728,0.0245,1,0.0279,0.8332,7.3487,ABFRL,2020-10-16,0,9.5036
8.6469,16,2.5126,0.8774,67.4706,8.5596,3.6479,0.0758,1,0.0364,0.9321,5.4177,ABFRL,2020-10-19,0,3.5389
7.5271,67,3.3685,0.937,65.555,10.6986,2.2474,0.073,1,0.0057,0.8636,5.1457,ABFRL,2023-09-05,0,-7.6966
3.7783,120,4.0698,0.8735,63.1438,17.2061,2.4351,0.0326,1,0.0105,1.0551,4.4783,ABFRL,2023-11-23,0,-3.9163
9.9898,11,7.2987,0.7833,66.9451,15.8164,2.8707,0.0845,1,0.0699,1.008,11.6049,ABFRL,2024-01-02,0,-7.4171
8.9136,57,2.0683,0.7074,64.4407,10.2021,2.9515,0.0667,1,0.0443,1.4018,33.2431,ABFRL,2024-09-23,0,-8.2974
7.0069,38,8.1254,0.8842,60.7281,16.1779,2.9134,0.0746,0,-0.0057,0.2992,-69.1826,ABFRL,2025-08-22,0,3.3411
11.2198,0,2.5952,0.9153,60.7053,12.5418,3.4399,0.0928,0,-0.0148,0.3071,-69.4577,ABFRL,2025-09-01,0,0.659
9.2449,5,2.7187,0.8373,69.8917,10.6444,2.9162,0.1363,1,0.0243,1.1927,53.5536,ABREL,2017-05-03,0,-5.7318
4.2017,23,2.1539,0.8181,65.4694,8.7001,2.9333,0.0493,1,0.0343,1.2087,24.2331,ABREL,2017-07-17,0,-1.3264
6.5813,37,2.291,0.8953,69.7977,9.0963,2.2421,0.0964,1,0.0328,1.2127,20.0498,ABREL,2017-08-04,0,-7.2784
6.6381,32,2.6599,0.7371,59.7554,8.3671,2.4652,0.0387,1,0.0103,1.209,16.234,ABREL,2017-12-11,0,-0.581
4.5731,52,2.5044,0.6782,65.1099,9.436,2.3023,0.0651,1,0.0505,0.7217,-21.0932,ABREL,2018-08-29,0,-6.7609
6.4366,31,1.516,0.8844,66.4043,15.821,3.2067,0.0895,1,0.0311,0.9992,8.9499,ABREL,2019-05-20,0,-4.4407
5.6334,15,2.2935,0.8684,62.9388,8.8967,2.7489,0.1033,1,0.0173,0.5486,-40.0378,ABREL,2020-01-10,0,9.6037
9.0447,40,4.6241,0.5796,68.4149,10.31,4.085,0.0909,1,0.0588,0.6122,3.2988,ABREL,2020-08-19,0,-4.7184
7.0861,23,5.1053,0.8828,67.4189,18.1007,2.5296,0.0327,1,0.0991,0.8624,12.596,ABREL,2020-11-18,1,36.2018
8.5519,6,2.6657,0.816,64.0192,8.3994,3.9039,0.1459,1,0.0609,1.4641,79.8662,ABREL,2021-09-01,0,5.8037
4.6222,10,3.1054,0.8242,64.0735,8.0674,3.0242,0.0662,1,0.0632,0.9831,1.1688,ABREL,2022-07-29,0,-1.2751
9.2795,21,2.5707,0.6499,66.143,10.8699,2.8205,0.0811,1,0.0948,1.0329,1.3997,ABREL,2022-08-17,0,-3.6636
3.8049,33,2.6192,0.7989,65.075,10.6385,3.0233,0.0732,1,0.0501,1.1094,0.8253,ABREL,2022-09-05,0,-6.0238
5.972,7,6.867,0.8738,59.7623,16.4858,2.9952,0.0284,1,0.0133,0.9673,17.2281,ABREL,2022-10-27,0,-10.2687
6.5548,21,5.6339,0.8278,69.121,16.4298,2.9003,0.1139,1,0.0422,1.1456,32.213,ABREL,2023-06-30,1,25.733
8.9542,15,5.1803,0.7051,68.1318,8.7657,3.3422,0.1451,1,0.0057,1.6304,65.5968,ABREL,2023-09-05,0,-3.9172
7.8636,10,3.9147,0.8361,59.9726,9.9274,3.9592,0.0761,1,0.0295,1.264,41.4933,ABREL,2024-03-07,0,-13.162
11.4638,0,9.0412,0.7111,66.6476,9.3103,5.052,0.1319,1,0.0168,1.3219,31.965,ABREL,2024-03-28,0,16.0813
11.0423,0,9.6046,0.5413,59.1413,14.5652,3.8763,0.0338,1,0.023,1.4256,32.6667,ABREL,2024-08-21,0,13.3465
10.4518,0,3.1807,0.7903,67.4757,8.2707,4.5375,0.1902,0,-0.01,1.4988,46.3807,ABREL,2024-10-18,0,-13.8181
10.0192,0,2.826,0.863,62.6561,13.1515,3.3671,0.0384,1,0.0372,0.8861,-25.8827,ABREL,2025-10-29,0,-7.9103
9.9651,3,6.4311,0.2395,57.4436,9.6094,5.3669,0.0089,0,-0.0228,0.8075,-27.1327,ABREL,2026-04-08,0,11.5349
6.0544,44,1.9078,0.529,67.4378,11.1317,2.3328,0.0616,1,0.0153,0.8559,-8.3565,ABSLAMC,2022-04-21,0,-5.1019
7.4533,3,1.5105,0.8515,56.3447,10.1107,2.3772,-0.0065,1,0.0326,0.8503,-22.8315,ABSLAMC,2023-05-03,0,15.8126
5.059,20,3.1118,0.7903,66.9044,10.3695,1.8066,0.06,1,0.0057,0.9864,23.5031,ABSLAMC,2023-09-05,0,13.2834
5.0398,58,3.0197,0.8442,65.8959,10.1087,2.0377,0.057,1,0.0771,1.1319,16.6013,ABSLAMC,2023-12-18,0,-1.8446
4.489,76,2.9323,0.8905,69.8524,11.2438,2.1155,0.0806,1,0.0609,1.1819,27.7899,ABSLAMC,2024-01-12,0,-5.9976
6.5663,14,3.0558,1.0,64.6811,16.9968,3.1676,0.1232,1,0.038,1.0699,16.3681,ABSLAMC,2024-06-03,0,10.5032
4.4057,11,5.4371,0.7368,59.3411,8.013,3.0079,0.0695,1,0.0397,1.3985,45.9247,ABSLAMC,2024-09-20,0,-11.4305
11.4728,0,10.5461,0.7712,63.2383,19.4871,3.9169,0.0744,0,-0.0043,1.419,35.7534,ABSLAMC,2024-10-16,0,2.0722
7.1347,11,3.7877,0.6698,60.5132,10.032,4.8199,0.0605,1,0.055,0.9154,-18.6647,ABSLAMC,2025-04-29,0,8.8252
7.0278,49,6.2772,0.6057,61.8824,11.2341,2.4369,0.024,1,0.0144,1.2762,15.7389,ABSLAMC,2025-10-13,0,-6.4437
