bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl,source_batch
6.1598,67,9.6927,0.8387,59.4867,27.469,2.2549,0.0025,0,-0.0103,0.8551,-11.093,INDIAMART,2026-01-16,0,-8.2569,Batch 2
10.5732,0,6.101,0.6402,59.9236,25.8181,4.8638,0.0184,0,-0.0181,1.0,0.0,KMCSHIL,2025-02-03,0,-16.3955,Batch 2
5.1141,68,4.4221,0.8633,64.2967,9.1308,3.196,0.0438,0,-0.0161,0.89,3.8928,KMCSHIL,2025-08-13,0,-4.8705,Batch 2
7.0197,19,5.1015,0.6943,61.8914,11.5266,3.3312,0.0711,1,0.0078,1.2057,16.7735,KMCSHIL,2026-01-01,0,-0.8075,Batch 2
9.1523,32,5.8197,0.7051,56.5641,25.6938,4.2451,-0.0014,0,-0.0323,1.0,0.0,KRISHANA,2025-01-15,0,-20.0925,Batch 2
8.3415,21,4.0658,0.6667,58.0687,12.7972,4.1899,0.019,1,0.023,0.8902,-13.1107,MACPOWER,2025-11-13,0,-0.1352,Batch 2
10.7081,9,5.2607,0.6633,67.8002,11.3307,3.7714,0.0,1,0.002,1.0,0.0,MONARCH,2025-01-02,0,-12.8747,Batch 2
3.6163,52,2.8018,0.704,58.5191,19.5291,2.0389,0.0012,1,0.023,0.9881,-14.0306,MONARCH,2025-11-13,0,-6.0925,Batch 2
4.462,14,5.9771,0.5283,57.0302,11.7382,2.507,0.0076,1,0.0215,0.885,-19.9791,NEWGEN,2025-09-18,0,-7.7173,Batch 2
15.563,3,11.7286,0.7342,68.2235,13.5207,4.9797,0.0565,1,0.0081,0.7098,-24.3675,RAJOOENG,2026-01-06,0,-21.4648,Batch 2
10.1358,10,3.8199,0.8151,65.1501,11.3785,3.6652,0.0211,0,-0.0089,1.2369,4.2132,RPEL,2025-09-05,1,56.2637,Batch 2
6.595,4,3.6483,0.7898,63.3104,16.3763,3.4358,0.0894,1,0.0022,1.2045,-3.0548,RPEL,2025-10-03,1,33.0679,Batch 2
6.4371,7,3.2527,0.9155,57.8478,10.7064,3.1194,0.0178,1,0.0236,1.1037,13.7812,SANDUMA,2025-07-03,0,-9.377,Batch 2
9.0749,6,3.0042,0.7637,62.6778,8.2043,2.9911,0.0424,1,0.0069,0.9148,-4.1431,SANDUMA,2025-09-15,0,23.9485,Batch 2
10.8342,2,15.5926,0.7691,60.7406,13.899,4.6036,0.0301,1,0.0313,0.5833,-24.58,SIGNPOST,2025-06-30,0,-0.6615,Batch 2
9.618,12,2.4804,0.7677,57.9567,8.8096,4.4897,0.0425,1,0.0109,0.828,-24.2034,SKYGOLD,2025-10-07,0,5.6433,Batch 2
6.4152,16,5.9693,0.7189,64.1246,11.8821,2.7413,0.0266,1,0.0065,1.0684,17.7515,SKYGOLD,2026-01-07,0,-10.396,Batch 2
10.2554,2,5.5399,0.7808,62.8541,13.0943,4.7486,0.071,1,0.0027,1.1686,31.1761,SKYGOLD,2026-02-09,0,-9.2235,Batch 2
14.3672,0,9.9441,0.6827,65.0049,10.084,5.1952,0.126,1,0.001,1.2783,29.4428,SKYGOLD,2026-02-12,0,-13.75,Batch 2
5.3313,43,3.056,1.0,60.7675,17.5337,3.0013,0.0036,1,0.0038,1.004,16.0129,SYNCOMF,2025-09-11,0,-9.6152,Batch 2
8.8634,17,2.7475,1.0,58.3592,18.4383,3.4998,0.0147,1,0.0109,2.4718,87.3985,YASHHV,2025-10-07,0,-8.4257,Batch 2
11.927,10,2.1601,0.9344,62.8779,9.6674,4.3055,0.0471,1,0.0027,0.8145,-5.0239,YASHHV,2026-02-09,0,-8.5154,Batch 2
5.9456,20,2.2772,1.0,68.7954,9.124,3.2737,0.1198,1,0.0311,1.0616,46.9604,523229,2025-07-01,1,61.2719,Batch 3
8.6014,11,2.1544,1.0,67.3655,8.136,3.9309,0.1046,0,-0.008,1.3128,56.0681,523229,2025-07-30,1,89.2737,Batch 3
6.8973,30,5.4771,0.823,69.4448,15.7848,3.1682,0.0611,1,0.0038,0.7117,5.4217,530475,2025-07-17,0,-13.2931,Batch 3
9.7898,4,4.09,0.7485,63.8667,11.3082,3.1949,0.0,1,0.0055,1.0,0.0,ANANDRATHI,2024-12-05,0,-10.2699,Batch 3
12.6217,0,5.2239,0.6332,67.1104,8.9424,3.5073,0.0,1,0.004,1.0,0.0,ANANDRATHI,2024-12-09,0,-12.4213,Batch 3
